Date,Open,High,Low,Close,Range,,Max -ve in next 20 days,max +ve in next 20 days,WeightingRule,,,CanProfit*,ShouldSellTomorrow
26/11/1990,1466.3,1466.3,1443.2,1443.2,23.1,,-1.67%,6.35%,3,,,1,0
27/11/1990,1438.3,1438.3,1415.3,1415.3,23,,-0.85%,8.44%,4,,,1,0
28/11/1990,1410,1431.9,1402.8,1420.6,29.1,,-3.18%,8.04%,0,,,1,0
29/11/1990,1420.4,1424.6,1415.8,1418.9,8.8,,-3.12%,8.17%,0,,,1,0
30/11/1990,1421.5,1443.9,1421.5,1441.2,22.4,,-4.61%,6.49%,0,,,1,0
3/12/1990,1470.1,1476.6,1458.7,1462.6,17.9,,-6.09%,4.94%,0,,,1,0
4/12/1990,1450.1,1450.1,1436.8,1446.3,13.3,,-6.17%,6.12%,0,,,1,0
5/12/1990,1462.9,1473,1457.1,1471,15.9,,-7.74%,4.34%,0,,,1,0
6/12/1990,1492,1504.7,1483.8,1504.7,20.9,,-9.81%,2.00%,0,,,1,0
7/12/1990,1505.1,1515.9,1504.7,1512.8,11.2,,-10.29%,1.45%,0,,,0,0
10/12/1990,1510,1521.1,1504.8,1504.8,16.3,,-9.99%,1.99%,0,,,1,0
11/12/1990,1492.8,1493,1486.3,1492.7,6.7,,-10.88%,2.82%,0,,,0,0
12/12/1990,1510,1520.6,1510,1517.2,10.6,,-12.38%,1.16%,0,,,0,1
13/12/1990,1532,1534.8,1516.8,1517.8,18,,-12.41%,0.34%,0,,,0,1
14/12/1990,1508.1,1523,1505.1,1522.4,17.9,,-12.68%,-0.66%,0,,,0,1
17/12/1990,1512.4,1512.4,1475.9,1475.9,36.5,,-9.93%,0.51%,0,,,0,1
18/12/1990,1472.6,1483.5,1472.6,1477.4,10.9,,-10.02%,0.07%,0,,,0,2
19/12/1990,1478.5,1478.5,1452.1,1457.2,26.4,,-8.77%,-2.14%,0,,,0,0
20/12/1990,1422.1,1426,1409.3,1409.3,16.7,,-5.67%,0.95%,0,,,0,0
21/12/1990,1404.9,1421.5,1404.9,1414.9,16.6,,-6.04%,0.55%,0,,,0,0
27/12/1990,1414.7,1419.1,1409.2,1410.9,9.9,,-5.78%,0.84%,0,,,1,0
28/12/1990,1403.3,1403.3,1389,1398.2,14.3,,-4.92%,1.75%,0,,,1,0
2/01/1991,1375.4,1375.4,1359.1,1366.1,16.3,,-2.69%,4.14%,0,,,1,0
3/01/1991,1371.7,1374.7,1365.2,1366.7,9.5,,-2.73%,4.52%,0,,,1,0
4/01/1991,1375.4,1398,1375.4,1396.1,22.6,,-4.78%,2.32%,0,,,1,0
7/01/1991,1373.6,1373.6,1352.5,1358.2,21.1,,-2.12%,6.71%,0,,,1,0
8/01/1991,1350.4,1357.1,1345.5,1354,11.6,,-1.82%,7.44%,3,,,1,0
9/01/1991,1358.6,1380.8,1358,1375.2,22.8,,-3.33%,5.78%,0,,,1,0
10/01/1991,1367.9,1383.7,1363.1,1383.4,20.6,,-3.90%,5.15%,0,,,1,0
11/01/1991,1401.3,1406.4,1376.9,1382.3,29.5,,-3.83%,6.19%,0,,,1,0
14/01/1991,1354.5,1354.5,1327.8,1327.8,26.7,,0.12%,12.61%,5,,,1,0
15/01/1991,1327,1330.3,1312.4,1325.6,17.9,,0.29%,12.79%,5,,,1,0
16/01/1991,1316.1,1329.4,1311.8,1322.7,17.6,,3.65%,13.04%,5,,,1,0
17/01/1991,1380.3,1422.7,1380.3,1422.7,42.4,,-3.63%,5.82%,0,,,1,0
18/01/1991,1403.6,1407.3,1394.7,1405.1,12.6,,-2.43%,9.65%,0,,,1,0
21/01/1991,1393.3,1396.5,1390,1390.2,6.5,,-1.38%,13.25%,5,,,1,0
22/01/1991,1374.2,1380.1,1367,1375.1,13.1,,-0.30%,16.66%,5,,,1,0
23/01/1991,1365.1,1371,1355.9,1358.8,15.1,,1.59%,18.06%,5,,,1,0
24/01/1991,1372.9,1380.4,1372.9,1375.2,7.5,,0.64%,16.65%,5,,,1,0
25/01/1991,1382.2,1384,1379.3,1382.1,4.7,,0.23%,16.07%,5,,,1,0
28/01/1991,1377.5,1385.3,1372.1,1382.7,13.2,,0.76%,16.64%,5,,,1,0
29/01/1991,1390.6,1393.2,1379.8,1380.3,13.4,,1.59%,16.84%,5,,,1,0
30/01/1991,1383.8,1402.2,1383.8,1400.7,18.4,,1.98%,15.14%,5,,,1,0
31/01/1991,1411.6,1428.5,1411.2,1420.1,17.3,,0.58%,13.57%,5,,,1,0
1/02/1991,1413.2,1428.4,1411,1426.5,17.4,,0.16%,13.06%,5,,,1,0
4/02/1991,1434.2,1449.3,1434.2,1435,15.1,,-0.43%,12.39%,5,,,1,0
5/02/1991,1451.1,1454.7,1435.9,1438.9,18.8,,-0.70%,12.09%,5,,,1,0
6/02/1991,1428.8,1428.8,1420.4,1428.7,8.4,,1.16%,12.89%,5,,,1,0
7/02/1991,1441.6,1445.3,1435.8,1436.3,9.5,,2.20%,12.29%,5,,,1,0
8/02/1991,1445.4,1467.9,1441.1,1467.8,26.8,,1.27%,9.88%,4,,,1,0
11/02/1991,1488,1495.2,1486.1,1488.7,9.1,,-0.15%,8.34%,4,,,1,0
12/02/1991,1484.2,1486.4,1463.1,1468.9,23.3,,1.52%,9.80%,4,,,1,0
13/02/1991,1471.7,1491.2,1471.7,1489.4,19.5,,1.08%,8.29%,4,,,1,0
14/02/1991,1498.2,1505.5,1486.5,1486.5,19,,2.74%,8.50%,4,,,1,0
15/02/1991,1498.7,1540.7,1495.2,1531.2,45.5,,-0.25%,5.33%,3,,,1,0
18/02/1991,1535,1574.4,1528.7,1572.6,45.7,,-2.88%,2.56%,0,,,0,0
19/02/1991,1597.2,1604.2,1580.6,1587.1,23.6,,-3.77%,1.62%,0,,,1,0
20/02/1991,1567,1576,1558.8,1567.3,17.2,,-2.55%,2.90%,0,,,1,0
21/02/1991,1568.6,1570.7,1562.4,1566.3,8.3,,-2.49%,2.97%,0,,,1,0
22/02/1991,1566.3,1583.1,1566,1582.5,17.1,,-3.92%,1.91%,0,,,0,2
25/02/1991,1605.2,1612.8,1601.1,1601.2,11.7,,-5.23%,-0.27%,0,,,1,0
26/02/1991,1569.1,1569.1,1558.2,1558.2,10.9,,-3.27%,2.48%,0,,,1,0
27/02/1991,1546.4,1567.8,1541.9,1565.5,25.9,,-3.72%,2.01%,0,,,1,0
28/02/1991,1569.8,1577.8,1541.1,1542.1,36.7,,-2.26%,3.55%,0,,,1,0
1/03/1991,1524,1527.3,1516.3,1516.7,11,,-0.63%,5.29%,3,,,1,0
4/03/1991,1515.3,1536.1,1515.3,1530.9,20.8,,-1.55%,4.31%,2,,,1,0
5/03/1991,1540.6,1549.2,1536.9,1540.3,12.3,,-2.15%,3.67%,0,,,0,1
6/03/1991,1579.5,1596.9,1579.5,1594.3,17.4,,-5.46%,0.07%,0,,,0,1
7/03/1991,1587,1595.4,1580.3,1580.5,15.1,,-4.64%,0.94%,0,,,0,1
8/03/1991,1587,1595.4,1580.3,1580.5,15.1,,-4.64%,0.73%,0,,,1,0
11/03/1991,1590.7,1590.7,1563.7,1565.8,27,,-3.74%,1.67%,0,,,1,0
12/03/1991,1575.6,1578,1563.4,1571.6,14.6,,-4.10%,1.30%,0,,,1,0
13/03/1991,1558.7,1562.4,1542.1,1542.2,20.3,,-2.27%,3.23%,0,,,1,0
14/03/1991,1552.6,1576.6,1552.6,1576.6,24,,-4.40%,1.93%,0,,,1,0
15/03/1991,1577.4,1578.1,1565.9,1570.6,12.2,,-4.04%,2.32%,0,,,1,0
18/03/1991,1573.2,1573.5,1551,1552.9,22.5,,-2.94%,4.67%,0,,,1,0
19/03/1991,1537.9,1548.3,1531.8,1546.5,16.5,,-2.54%,5.24%,0,,,1,0
20/03/1991,1528.3,1532.5,1517.9,1517.9,14.6,,-0.70%,7.22%,3,,,1,0
21/03/1991,1531.3,1533.4,1517,1519.6,16.4,,-0.82%,7.10%,3,,,1,0
22/03/1991,1507.9,1520.4,1501.4,1520.3,19,,-0.86%,7.05%,3,,,1,0
25/03/1991,1513.9,1517.5,1506.2,1515.5,11.3,,-0.55%,7.39%,3,,,1,0
26/03/1991,1504.9,1507.2,1496.5,1498.4,10.7,,1.21%,8.62%,4,,,1,0
27/03/1991,1508.5,1516.5,1508.1,1508.8,8.4,,1.20%,8.20%,4,,,1,0
28/03/1991,1506.5,1526.9,1506.5,1522.8,20.4,,1.28%,7.58%,4,,,1,0
2/04/1991,1522.6,1542.3,1521.9,1538.6,20.4,,1.91%,6.47%,3,,,1,0
3/04/1991,1556.7,1579.9,1556.7,1577.5,23.2,,-0.60%,3.85%,2,,,1,0
4/04/1991,1576,1588.5,1564.9,1572,23.6,,-0.25%,4.21%,2,,,1,0
5/04/1991,1586.8,1588,1573.6,1586.9,14.4,,-1.19%,3.23%,2,,,1,0
8/04/1991,1579.9,1582.2,1576.1,1580,6.1,,-0.76%,3.68%,2,,,1,0
9/04/1991,1590.8,1592,1582.1,1582.1,9.9,,-0.89%,3.55%,2,,,1,0
10/04/1991,1567.2,1568,1558.4,1561.9,9.6,,0.75%,4.89%,2,,,1,0
11/04/1991,1571.4,1573.6,1558.5,1565.4,15.1,,1.26%,4.65%,2,,,1,0
12/04/1991,1568.5,1585.2,1568.5,1583.1,16.7,,0.13%,3.48%,2,,,1,0
15/04/1991,1590.3,1607.1,1590.3,1601.4,16.8,,-1.01%,2.30%,2,,,1,0
16/04/1991,1599.1,1606.8,1593.1,1603.4,13.7,,-1.14%,2.17%,1,,,1,0
17/04/1991,1615.6,1625.4,1612.1,1623.8,13.3,,-2.38%,0.89%,0,,,1,0
18/04/1991,1627.5,1627.5,1607.2,1613.8,20.3,,-1.77%,1.51%,1,,,1,0
