Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2LRatio,P2LRatioPositive,P2LRatioNegative,P2LRatioNeutral,RangeVariance
28/12/1990,-0.278418,-0.278418,-0.802284,-0.465251,0.000000,0.000000,-0.513329,0.000000,0.513329,1.000000,4.062707
2/01/1991,-0.828093,-0.828093,-1.420107,-1.165868,1.000000,0.000000,-0.573936,0.000000,0.573936,1.000000,4.027875
3/01/1991,0.206091,0.316497,-0.033122,0.022081,1.000000,0.000000,-0.534703,0.000000,0.534703,1.000000,4.294789
4/01/1991,0.319207,1.148412,0.319207,1.078700,0.000000,0.000000,-0.001018,0.000000,0.001018,1.000000,4.281780
7/01/1991,-0.815752,-0.815752,-1.580746,-1.374089,1.000000,0.000000,0.930890,0.930890,0.000000,0.000000,4.985150
8/01/1991,-0.285879,-0.040316,-0.465470,-0.153935,2.000000,0.000000,0.652889,0.652889,0.000000,1.000000,5.237448
9/01/1991,0.168655,0.982599,0.146657,0.777280,1.000000,0.000000,0.414157,0.414157,0.000000,1.000000,5.239308
10/01/1991,-0.268965,0.313178,-0.445818,0.302125,0.000000,0.000000,-0.323121,0.000000,0.323121,1.000000,5.265077
11/01/1991,0.658372,0.845953,-0.239074,-0.040459,1.000000,0.000000,1.325182,1.325182,0.000000,0.000000,5.741445
14/01/1991,-1.002361,-1.002361,-1.965061,-1.965061,4.000000,0.000000,3.370888,3.370888,0.000000,0.000000,6.612699
15/01/1991,-0.029051,0.090784,-0.559231,-0.079890,4.000000,0.000000,9.759040,9.759040,0.000000,0.000000,6.659931
16/01/1991,-0.347488,0.138995,-0.504772,-0.106075,4.000000,0.000000,1.684808,1.684808,0.000000,0.000000,5.095273
17/01/1991,2.000536,3.473153,2.000536,3.473153,1.000000,0.000000,0.880201,0.880201,0.000000,0.000000,5.195836
18/01/1991,-0.663737,-0.535160,-0.973018,-0.611611,2.000000,0.000000,1.217999,1.217999,0.000000,0.000000,6.421920
21/01/1991,-0.413993,-0.301724,-0.529770,-0.522754,4.000000,0.000000,2.770421,2.770421,0.000000,0.000000,7.665884
22/01/1991,-0.563443,-0.355673,-0.816992,-0.531749,5.000000,0.000000,10.036269,10.036269,0.000000,0.000000,8.743927
23/01/1991,-0.354448,-0.145324,-0.680539,-0.577750,5.000000,0.000000,9.980449,9.980449,0.000000,0.000000,8.226729
24/01/1991,0.502125,0.769213,0.502125,0.584032,5.000000,0.000000,3.554868,3.554868,0.000000,0.000000,8.265476
25/01/1991,0.252753,0.317746,0.148041,0.249142,5.000000,0.000000,9.971613,9.971613,0.000000,0.000000,8.380561
28/01/1991,-0.167852,0.116766,-0.364895,0.021894,5.000000,0.000000,5.047793,5.047793,0.000000,0.000000,8.502054
29/01/1991,0.291244,0.387096,-0.106912,-0.088479,5.000000,0.000000,9.995839,9.995839,0.000000,0.000000,8.442384
30/01/1991,0.129531,0.810495,0.129531,0.754981,4.000000,0.000000,9.861363,9.861363,0.000000,0.000000,7.468393
31/01/1991,0.403164,1.028254,0.388369,0.717558,4.000000,0.000000,9.857705,9.857705,0.000000,0.000000,7.464086
1/02/1991,-0.257046,0.309201,-0.339003,0.238420,4.000000,0.000000,2.867840,2.867840,0.000000,0.000000,7.167496
4/02/1991,0.287716,0.851937,0.287716,0.317608,4.000000,0.000000,2.133822,2.133822,0.000000,0.000000,7.189154
5/02/1991,0.604779,0.740009,0.033808,0.146499,4.000000,0.000000,9.790039,9.790039,0.000000,0.000000,7.227299
6/02/1991,-0.381725,-0.381725,-0.699199,-0.385504,4.000000,0.000000,9.707777,9.707777,0.000000,0.000000,6.689630
7/02/1991,0.491210,0.632100,0.270356,0.289395,4.000000,0.000000,9.679719,9.679719,0.000000,0.000000,6.538042
8/02/1991,0.345109,1.198402,0.182036,1.194609,4.000000,0.000000,2.023337,2.023337,0.000000,0.000000,5.677239
11/02/1991,0.765468,1.038308,0.693469,0.791994,4.000000,0.000000,4.195852,4.195852,0.000000,0.000000,5.672801
12/02/1991,-0.170627,-0.087209,-0.970679,-0.750759,4.000000,0.000000,9.483797,9.483797,0.000000,0.000000,5.350108
13/02/1991,0.106497,0.848172,0.106497,0.779710,4.000000,0.000000,9.312897,9.312897,0.000000,0.000000,4.803773
14/02/1991,0.336572,0.615773,-0.110916,-0.110916,4.000000,0.000000,9.270494,9.270494,0.000000,0.000000,4.497820
15/02/1991,0.456808,2.029425,0.325756,1.673714,3.000000,0.000000,1.460510,1.460510,0.000000,0.000000,3.650718
18/02/1991,0.140289,1.594865,-0.092295,1.528412,0.000000,0.000000,-1.641883,0.000000,1.641883,0.000000,3.599521
19/02/1991,0.905171,1.162739,0.294364,0.533536,0.000000,0.000000,-0.167722,0.000000,0.167722,1.000000,3.587566
20/02/1991,-0.738980,-0.408093,-1.040454,-0.727950,0.000000,0.000000,-0.287681,0.000000,0.287681,1.000000,3.584605
21/02/1991,0.048468,0.126763,-0.182688,-0.037283,0.000000,0.000000,-0.317961,0.000000,0.317961,1.000000,3.635122
22/02/1991,0.000000,0.630933,-0.011267,0.608400,0.000000,5.000000,-9.185425,0.000000,9.185425,0.000000,4.183688
25/02/1991,0.850166,1.134802,0.696611,0.700357,0.000000,0.000000,-1.081802,0.000000,1.081802,0.000000,3.576688
26/02/1991,-1.187716,-1.187716,-1.591021,-1.591021,0.000000,0.000000,-0.095309,0.000000,0.095309,1.000000,3.714849
27/02/1991,-0.436970,0.355501,-0.603611,0.270329,0.000000,0.000000,-0.663453,0.000000,0.663453,1.000000,3.717949
28/02/1991,0.158100,0.452238,-0.897123,-0.860356,1.000000,0.000000,1.183193,1.183193,0.000000,0.000000,3.691441
1/03/1991,-0.666174,-0.544717,-0.949574,-0.934851,2.000000,0.000000,1.543620,1.543620,0.000000,0.000000,3.695240
4/03/1991,-0.051770,0.717384,-0.051770,0.525096,1.000000,0.000000,0.165538,0.165538,0.000000,1.000000,3.712648
5/03/1991,0.361026,0.681112,0.223315,0.349861,1.000000,1.000000,-2.943786,0.000000,2.943786,0.000000,3.736810
6/03/1991,1.427402,2.060994,1.427402,1.966319,0.000000,10.000000,-13.815511,0.000000,13.815511,0.000000,3.601277
7/03/1991,-0.268232,0.040419,-0.514418,-0.507069,0.000000,5.000000,-9.015147,0.000000,9.015147,0.000000,3.633995
8/03/1991,0.240982,0.552406,-0.007415,0.000000,0.000000,0.000000,-2.112659,0.000000,2.112659,0.000000,3.540587
11/03/1991,0.378149,0.378149,-0.622834,-0.544980,0.000000,0.000000,-1.400932,0.000000,1.400932,0.000000,3.540516
12/03/1991,0.366684,0.456484,-0.089800,0.217017,0.000000,0.000000,-0.321097,0.000000,0.321097,1.000000,3.573300
13/03/1991,-0.481676,-0.343521,-1.101508,-1.097774,1.000000,0.000000,-0.427378,0.000000,0.427378,1.000000,3.565897
14/03/1991,0.386131,1.277203,0.386131,1.277203,0.000000,0.000000,-1.336125,0.000000,1.336125,0.000000,4.106357
15/03/1991,0.030031,0.056308,-0.401664,-0.225232,0.000000,0.000000,-0.591048,0.000000,0.591048,1.000000,4.151781
18/03/1991,0.097905,0.109202,-0.738052,-0.666506,1.000000,0.000000,0.838686,0.838686,0.000000,0.000000,4.853823
19/03/1991,-0.567167,-0.173931,-0.797814,-0.241991,1.000000,0.000000,1.436890,1.436890,0.000000,0.000000,4.953254
20/03/1991,-0.687044,-0.528495,-1.079640,-1.079640,4.000000,0.000000,1.379877,1.379877,0.000000,0.000000,4.945204
21/03/1991,0.509728,0.589611,-0.034235,0.064667,4.000000,0.000000,3.351014,3.351014,0.000000,0.000000,4.983166
22/03/1991,-0.447543,0.030601,-0.696178,0.026776,4.000000,0.000000,2.440252,2.440252,0.000000,0.000000,5.010952
25/03/1991,-0.247086,-0.108100,-0.544362,-0.185315,4.000000,0.000000,9.364348,9.364348,0.000000,0.000000,5.057547
26/03/1991,-0.411429,-0.322157,-0.737468,-0.663721,4.000000,0.000000,4.104020,4.104020,0.000000,0.000000,4.696504
27/03/1991,0.394368,0.706739,0.378750,0.406082,4.000000,0.000000,9.361773,9.361773,0.000000,0.000000,4.919844
28/03/1991,-0.090174,0.709627,-0.090174,0.548883,4.000000,0.000000,9.262933,9.262933,0.000000,0.000000,4.559648
2/04/1991,-0.007873,0.767589,-0.035427,0.621944,3.000000,0.000000,8.867146,8.867146,0.000000,0.000000,3.208127
3/04/1991,0.703674,1.605620,0.703674,1.512316,2.000000,0.000000,2.011848,2.011848,0.000000,0.000000,3.102385
4/04/1991,-0.058412,0.428354,-0.490660,-0.214177,2.000000,0.000000,1.078293,1.078293,0.000000,0.000000,3.107513
5/04/1991,0.580709,0.627793,0.062779,0.584632,1.000000,0.000000,1.255579,1.255579,0.000000,0.000000,3.131117
8/04/1991,-0.277862,-0.186564,-0.428701,-0.273892,2.000000,0.000000,0.641075,0.641075,0.000000,1.000000,3.167624
9/04/1991,0.433238,0.481376,0.084241,0.084241,2.000000,0.000000,8.832734,8.832734,0.000000,0.000000,3.201150
10/04/1991,-0.598298,-0.566175,-0.951656,-0.811116,3.000000,0.000000,8.800867,8.800867,0.000000,0.000000,3.200293
11/04/1991,0.384493,0.473533,-0.137608,0.141655,2.000000,0.000000,8.745921,8.745921,0.000000,0.000000,2.820961
