Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2LRatio,P2LRatioPositive,P2LRatioNegative,P2LRatioNeutral,RangeVariance
1987-01-27,0.000000,1.928634,0.000000,1.698841,4.000000,0.000000,2.991409,2.991409,0.000000,0.000000,6.635297
1987-01-28,0.000000,0.802675,-0.294862,0.675722,3.000000,0.000000,2.246741,2.246741,0.000000,0.000000,6.622089
1987-01-29,0.000000,0.584874,-1.153597,-0.467897,4.000000,0.000000,7.100852,7.100852,0.000000,0.000000,6.522288
1987-01-30,0.000000,0.000000,-1.150064,-0.064341,4.000000,0.000000,7.031742,7.031742,0.000000,0.000000,5.786536
1987-02-02,0.000000,1.297180,-0.364947,0.940162,3.000000,0.000000,1.947044,1.947044,0.000000,0.000000,5.577442
1987-02-03,0.000000,0.549736,-0.243010,-0.183257,4.000000,0.000000,2.475247,2.475247,0.000000,0.000000,6.027288
1987-02-04,0.000000,1.437525,-0.251364,1.433605,1.000000,0.000000,0.797800,0.797800,0.000000,0.000000,6.971595
1987-02-05,0.000000,1.020595,-0.381754,0.592098,1.000000,0.000000,0.484344,0.484344,0.000000,1.000000,6.914350
1987-02-06,0.000000,0.246656,-0.505057,-0.438494,1.000000,0.000000,1.076593,1.076593,0.000000,0.000000,6.949386
1987-02-09,0.000000,0.000000,-1.094142,-0.734635,2.000000,0.000000,2.693327,2.693327,0.000000,0.000000,6.936034
1987-02-10,0.000000,0.000000,-1.795249,-1.187858,4.000000,0.000000,7.327123,7.327123,0.000000,0.000000,7.157909
1987-02-11,0.000000,1.011763,-0.137975,0.946618,4.000000,0.000000,3.582452,3.582452,0.000000,0.000000,7.136035
1987-02-12,0.000000,0.189386,-1.382518,-0.727249,4.000000,0.000000,7.328766,7.328766,0.000000,0.000000,6.628523
1987-02-13,0.000000,1.955422,-0.225478,1.508155,4.000000,0.000000,6.989334,6.989334,0.000000,0.000000,4.857132
1987-02-17,0.000000,2.092514,0.000000,2.092514,1.000000,0.000000,1.004317,1.004317,0.000000,0.000000,4.748837
1987-02-18,0.000000,0.734859,-0.898951,-0.024963,1.000000,0.000000,0.954236,0.954236,0.000000,0.000000,5.425830
1987-02-19,0.000000,0.293353,-0.565263,0.053661,1.000000,0.000000,0.915302,0.915302,0.000000,0.000000,5.441485
1987-02-20,0.000000,0.147872,-0.454436,-0.032458,2.000000,0.000000,3.129089,3.129089,0.000000,0.000000,6.780431
1987-02-23,0.000000,0.007039,-2.151540,-1.091615,4.000000,0.000000,7.372432,7.372432,0.000000,0.000000,7.197605
1987-02-24,0.000000,0.336797,-0.329710,0.177265,4.000000,0.000000,4.829386,4.829386,0.000000,0.000000,7.512489
1987-02-25,0.000000,0.873278,-0.261626,0.395978,4.000000,0.000000,7.511525,7.511525,0.000000,0.000000,7.491806
1987-02-26,0.000000,0.140583,-1.149278,-0.365524,4.000000,0.000000,7.483808,7.483808,0.000000,0.000000,7.176866
1987-02-27,0.000000,0.563040,-0.067282,0.439109,4.000000,0.000000,4.148626,4.148626,0.000000,0.000000,7.231011
1987-03-02,-0.010645,0.223548,-0.674229,-0.425827,4.000000,0.000000,7.478453,7.478453,0.000000,0.000000,7.026079
1987-03-03,0.000000,0.426966,-0.028699,0.401848,4.000000,0.000000,7.410651,7.410651,0.000000,0.000000,6.673583
1987-03-04,0.000000,1.594971,0.000000,1.594971,4.000000,0.000000,3.024782,3.024782,0.000000,0.000000,5.699360
1987-03-05,0.000000,0.929822,-0.007094,0.674297,3.000000,0.000000,1.916383,1.916383,0.000000,0.000000,5.706697
1987-03-06,0.000000,0.053592,-0.625137,0.050016,3.000000,0.000000,2.610149,2.610149,0.000000,0.000000,5.744114
1987-03-09,0.000000,0.000000,-1.257911,-0.838611,4.000000,0.000000,5.189664,5.189664,0.000000,0.000000,5.713879
1987-03-10,0.000000,0.912154,-0.145509,0.908602,3.000000,0.000000,1.626642,1.626642,0.000000,0.000000,6.037231
1987-03-11,0.003544,0.584129,-0.541638,-0.194702,3.000000,0.000000,1.688466,1.688466,0.000000,0.000000,6.021736
1987-03-12,0.007105,0.568736,-0.231046,0.323468,2.000000,0.000000,1.386787,1.386787,0.000000,0.000000,6.046341
1987-03-13,0.000000,0.203924,-0.479391,-0.475810,4.000000,0.000000,3.965393,3.965393,0.000000,0.000000,6.085418
1987-03-16,-0.003570,0.000000,-1.158935,-0.591950,4.000000,0.000000,7.141247,7.141247,0.000000,0.000000,6.429414
1987-03-17,-0.049329,1.493789,-0.095131,1.493789,0.000000,0.000000,-0.207078,0.000000,0.207078,1.000000,9.857614
1987-03-18,0.006999,0.738831,-0.560257,0.108549,0.000000,0.000000,-0.490771,0.000000,0.490771,1.000000,9.797445
1987-03-19,-0.017585,0.590979,-0.182919,0.457303,0.000000,0.000000,-0.819085,0.000000,0.819085,0.000000,9.842654
1987-03-20,0.000000,1.426252,0.000000,1.426252,0.000000,0.000000,-1.888131,0.000000,1.888131,0.000000,9.757032
1987-03-23,-0.003471,1.040323,-0.232343,1.036852,0.000000,5.000000,-7.670611,0.000000,7.670611,0.000000,9.702738
1987-03-24,0.003498,0.265585,-0.356434,0.167739,0.000000,5.000000,-7.660577,0.000000,7.660577,0.000000,9.777584
1987-03-25,-0.042052,0.073572,-0.798830,-0.441456,0.000000,2.000000,-6.050502,0.000000,6.050502,0.000000,9.803045
1987-03-26,0.003520,0.822804,0.000000,0.193390,0.000000,1.000000,-2.307496,0.000000,2.307496,0.000000,9.838495
1987-03-27,0.010365,0.165861,-1.682761,-1.658571,0.000000,0.000000,-0.326068,0.000000,0.326068,1.000000,9.668104
1987-03-30,-0.009917,0.000000,-3.120694,-2.290930,0.000000,0.000000,0.095134,0.095134,0.000000,1.000000,9.249674
1987-03-31,0.003304,0.883963,-0.043041,0.827686,0.000000,0.000000,-0.057979,0.000000,0.057979,1.000000,9.263453
1987-04-01,-0.036179,0.223619,-1.104956,0.223619,0.000000,0.000000,-0.484570,0.000000,0.484570,1.000000,9.201336
1987-04-02,0.009904,0.689985,-0.118855,0.412672,0.000000,0.000000,-0.635948,0.000000,0.635948,1.000000,9.237233
1987-04-03,0.003179,2.436104,-0.422434,2.153432,0.000000,5.000000,-7.674088,0.000000,7.674088,0.000000,8.886871
1987-04-06,0.016014,0.576643,0.000000,0.493356,0.000000,5.000000,-7.620378,0.000000,7.620378,0.000000,8.963653
1987-04-07,-0.003129,0.531466,-1.650689,-1.644440,0.000000,5.000000,-7.441372,0.000000,7.441372,0.000000,7.356198
1987-04-08,0.009331,0.780697,-0.469663,0.177291,0.000000,1.000000,-3.695610,0.000000,3.695610,0.000000,6.855166
