Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule
28/12/1990,-0.341343,-0.341343,-0.983607,-0.570402,0.000000,0.000000
2/01/1991,-0.941371,-0.941371,-1.614368,-1.325351,0.000000,0.000000
3/01/1991,0.230880,0.354566,-0.037106,0.024737,0.000000,0.000000
4/01/1991,0.354090,1.273911,0.354090,1.196581,0.000000,0.000000
7/01/1991,-0.900721,-0.900721,-1.745396,-1.517214,0.000000,0.000000
8/01/1991,-0.320658,-0.045221,-0.522097,-0.172662,0.000000,0.000000
9/01/1991,0.189067,1.101521,0.164406,0.871352,0.000000,0.000000
10/01/1991,-0.308342,0.359029,-0.511088,0.346357,0.000000,0.000000
11/01/1991,0.727938,0.935340,-0.264335,-0.044734,0.000000,0.000000
14/01/1991,-1.049057,-1.049057,-2.056604,-2.056604,5.000000,0.000000
15/01/1991,-0.030223,0.094447,-0.581791,-0.083113,5.000000,0.000000
16/01/1991,-0.366018,0.146407,-0.531689,-0.111732,5.000000,0.000000
17/01/1991,1.916486,3.327233,1.916486,3.327233,0.000000,0.000000
18/01/1991,-0.625000,-0.503927,-0.916230,-0.575916,0.000000,0.000000
21/01/1991,-0.407037,-0.296654,-0.520869,-0.513970,5.000000,0.000000
22/01/1991,-0.540449,-0.341159,-0.783651,-0.510049,5.000000,0.000000
23/01/1991,-0.341939,-0.140195,-0.656522,-0.557360,5.000000,0.000000
24/01/1991,0.504834,0.773362,0.504834,0.587182,5.000000,0.000000
25/01/1991,0.254176,0.319535,0.148874,0.250545,5.000000,0.000000
28/01/1991,-0.166035,0.115503,-0.360946,0.021657,5.000000,0.000000
29/01/1991,0.289589,0.384897,-0.106305,-0.087977,5.000000,0.000000
30/01/1991,0.132475,0.828917,0.132475,0.772142,5.000000,0.000000
31/01/1991,0.398756,1.017011,0.384123,0.709713,5.000000,0.000000
1/02/1991,-0.259009,0.311562,-0.341592,0.240240,5.000000,0.000000
4/02/1991,0.300781,0.890625,0.300781,0.332031,5.000000,0.000000
5/02/1991,0.620424,0.759152,0.034682,0.150289,5.000000,0.000000
6/02/1991,-0.395536,-0.395536,-0.724496,-0.399452,5.000000,0.000000
7/02/1991,0.509177,0.655220,0.280245,0.299980,5.000000,0.000000
8/02/1991,0.357704,1.242138,0.188679,1.238208,4.000000,0.000000
11/02/1991,0.838696,1.137638,0.759809,0.867760,4.000000,0.000000
12/02/1991,-0.183899,-0.093993,-1.046179,-0.809154,4.000000,0.000000
13/02/1991,0.113337,0.902651,0.113337,0.829792,4.000000,0.000000
14/02/1991,0.426047,0.779472,-0.140402,-0.140402,4.000000,0.000000
15/02/1991,0.555429,2.467562,0.396085,2.035056,3.000000,0.000000
18/02/1991,0.161737,1.838689,-0.106406,1.762077,0.000000,0.000000
19/02/1991,1.028643,1.321346,0.334518,0.606314,0.000000,0.000000
20/02/1991,-0.824785,-0.455478,-1.161264,-0.812474,0.000000,0.000000
21/02/1991,0.054841,0.143430,-0.206707,-0.042185,0.000000,0.000000
22/02/1991,0.000000,0.696517,-0.012438,0.671642,0.000000,5.000000
25/02/1991,0.908909,1.213213,0.744745,0.748749,0.000000,0.000000
26/02/1991,-1.213381,-1.213381,-1.625402,-1.625402,0.000000,0.000000
27/02/1991,-0.442694,0.360158,-0.611518,0.273870,0.000000,0.000000
28/02/1991,0.158672,0.453875,-0.900369,-0.863469,2.000000,0.000000
1/03/1991,-0.657703,-0.537791,-0.937500,-0.922965,3.000000,0.000000
4/03/1991,-0.051058,0.707513,-0.051058,0.517870,2.000000,0.000000
5/03/1991,0.354662,0.669104,0.219378,0.343693,2.000000,1.000000
6/03/1991,1.339942,1.934712,1.339942,1.845838,0.000000,10.000000
7/03/1991,-0.250171,0.037697,-0.479781,-0.472927,0.000000,5.000000
8/03/1991,0.229236,0.525481,-0.007053,0.000000,0.000000,0.000000
11/03/1991,0.359979,0.359979,-0.592906,-0.518793,0.000000,0.000000
