Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule
1987-01-27,-0.456083,-0.456083,-0.456083,-0.456083,0.000000,0.000000
1987-01-28,-3.917652,-3.917652,-3.917652,-3.917652,2.000000,0.000000
1987-01-29,1.098602,1.098602,1.098602,1.098602,1.000000,5.000000
1987-01-30,1.440001,1.440001,1.440001,1.440001,0.000000,5.000000
1987-02-02,-1.210842,-1.210842,-1.210842,-1.210842,1.000000,0.000000
1987-02-03,-1.100099,-1.100099,-1.100099,-1.100099,1.000000,0.000000
1987-02-04,-0.126367,-0.126367,-0.126367,-0.126367,1.000000,0.000000
1987-02-05,-0.674598,-0.674598,-0.674598,-0.674598,2.000000,0.000000
1987-02-06,1.201038,1.201038,1.201038,1.201038,1.000000,0.000000
1987-02-09,0.345781,0.345781,0.345781,0.345781,1.000000,0.000000
1987-02-10,-0.942315,-0.942315,-0.942315,-0.942315,2.000000,0.000000
1987-02-11,-0.049484,-0.049484,-0.049484,-0.049484,2.000000,0.000000
1987-02-12,0.435361,0.435361,0.435361,0.435361,1.000000,0.000000
1987-02-13,0.147589,0.147589,0.147589,0.147589,1.000000,0.000000
1987-02-16,0.389986,0.389986,0.389986,0.389986,1.000000,0.000000
1987-02-17,-1.460473,-1.460473,-1.460473,-1.460473,2.000000,0.000000
1987-02-18,0.049009,0.049009,0.049009,0.049009,2.000000,0.000000
1987-02-19,1.373389,1.373389,1.373389,1.373389,1.000000,0.000000
1987-02-20,0.150102,0.150102,0.150102,0.150102,1.000000,0.000000
1987-02-23,-0.873462,-0.873462,-0.873462,-0.873462,2.000000,0.000000
1987-02-24,-0.224006,-0.224006,-0.224006,-0.224006,2.000000,0.000000
1987-02-25,-0.856847,-0.856847,-0.856847,-0.856847,2.000000,0.000000
1987-02-26,0.955289,0.955289,0.955289,0.955289,2.000000,0.000000
1987-02-27,0.593265,0.593265,0.593265,0.593265,2.000000,0.000000
1987-03-02,0.411670,0.411670,0.411670,0.411670,2.000000,0.000000
1987-03-03,-1.598040,-1.598040,-1.598040,-1.598040,3.000000,0.000000
1987-03-04,2.713050,2.713050,2.713050,2.713050,2.000000,0.000000
1987-03-05,1.341179,1.341179,1.341179,1.341179,2.000000,0.000000
1987-03-06,-0.052144,-0.052144,-0.052144,-0.052144,2.000000,0.000000
1987-03-09,0.502498,0.502498,0.502498,0.502498,3.000000,0.000000
1987-03-10,-1.429605,-1.429605,-1.429605,-1.429605,3.000000,0.000000
1987-03-11,-1.396126,-1.396126,-1.396126,-1.396126,3.000000,0.000000
1987-03-12,1.473657,1.473657,1.473657,1.473657,3.000000,0.000000
1987-03-13,0.710086,0.710086,0.710086,0.710086,3.000000,0.000000
1987-03-16,0.045244,0.045244,0.045244,0.045244,3.000000,0.000000
1987-03-17,-1.509869,-1.509869,-1.509869,-1.509869,3.000000,0.000000
1987-03-18,1.307279,1.307279,1.307279,1.307279,3.000000,0.000000
1987-03-19,-2.505905,-2.505905,-2.505905,-2.505905,3.000000,0.000000
1987-03-20,1.107196,1.107196,1.107196,1.107196,3.000000,0.000000
1987-03-23,2.266616,2.266616,2.266616,2.266616,2.000000,0.000000
1987-03-24,1.113853,1.113853,1.113853,1.113853,2.000000,0.000000
1987-03-25,0.278704,0.278704,0.278704,0.278704,2.000000,0.000000
1987-03-26,1.150554,1.150554,1.150554,1.150554,2.000000,0.000000
1987-03-27,1.385297,1.385297,1.385297,1.385297,2.000000,0.000000
1987-03-30,-0.921078,-0.921078,-0.921078,-0.921078,2.000000,0.000000
1987-03-31,-1.280544,-1.280544,-1.280544,-1.280544,2.000000,0.000000
1987-04-01,2.327000,2.327000,2.327000,2.327000,1.000000,0.000000
1987-04-02,0.722597,0.722597,0.722597,0.722597,1.000000,0.000000
