Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2L_Ratio,P2L_RatioPositive,P2L_RatioNegative,P2L_RatioNeutral,RangeVariance
2016-01-29,0.518735,0.619369,0.065414,0.618317,0.000000,10.000000,-11.358839,0.000000,11.358839,0.000000,4.637568
2016-02-01,0.100893,0.114161,-0.628236,-0.158429,0.000000,10.000000,-11.252941,0.000000,11.252941,0.000000,4.254256
2016-02-02,-0.144238,-0.112597,-0.868214,-0.695010,0.000000,1.000000,-2.976242,0.000000,2.976242,0.000000,4.219464
2016-02-03,-0.154850,-0.015049,-0.901667,-0.573076,0.000000,0.000000,-0.566668,0.000000,0.566668,1.000000,4.712633
2016-02-04,0.353572,0.422999,-0.662998,-0.166866,0.000000,0.000000,-0.154059,0.000000,0.154059,1.000000,4.701576
2016-02-05,-0.073531,0.310679,-0.579940,-0.435929,1.000000,0.000000,0.628226,0.628226,0.000000,1.000000,4.967264
2016-02-08,0.169511,0.199224,-1.352722,-1.191988,3.000000,0.000000,2.375532,2.375532,0.000000,0.000000,4.903122
2016-02-09,0.005241,0.242860,-0.801819,-0.388171,4.000000,0.000000,2.034341,2.034341,0.000000,0.000000,4.893397
2016-02-10,0.226685,0.964086,-0.015286,0.533586,2.000000,0.000000,11.490905,11.490905,0.000000,0.000000,4.890247
2016-02-11,-0.503482,-0.458034,-1.237301,-1.028827,4.000000,0.000000,11.447560,11.447560,0.000000,0.000000,4.781433
2016-02-12,0.407668,0.861828,0.252556,0.861828,4.000000,0.000000,11.039171,11.039171,0.000000,0.000000,3.723804
2016-02-15,0.774366,1.113770,0.660677,0.945410,3.000000,0.000000,11.265956,11.265956,0.000000,0.000000,3.890305
2016-02-16,0.143109,0.247958,-0.508708,-0.285856,3.000000,0.000000,11.260514,11.260514,0.000000,0.000000,3.721161
2016-02-17,0.158955,1.053112,0.085339,0.982460,2.000000,0.000000,1.303084,1.303084,0.000000,0.000000,3.716994
2016-02-18,0.210667,0.724315,-0.113046,0.358424,1.000000,0.000000,1.472899,1.472899,0.000000,0.000000,3.794331
2016-02-19,-0.182977,0.044036,-0.613208,-0.320688,2.000000,0.000000,0.655161,0.655161,0.000000,1.000000,3.822464
